"","lineage","i","k","j","min.sts","max.sts","length","lengthdays","c(NA, tmrca_all$size)","size","size_cat"
"15180","B.1.1",9,3,7,2020.58196721311,2020.60382513661,0.0218579234972367,7.99999999998863,5,5,"3-5"
"15181","B.1.1",9,3,8,2020.53825136612,2020.53825136612,0,0,2,2,"2"
"15182","B.1.1",9,3,9,2020.28142076503,2020.31693989071,0.0355191256828675,12.9999999999295,3,3,"3-5"
"15183","B.1.1",9,3,10,2020.20765027322,2020.49180327869,0.284153005464532,104.000000000019,14,14,"11-20"
"15184","B.1.1",9,3,11,2020.42896174863,2020.51366120219,0.084699453552048,31.0000000000496,9,9,"6-10"
"15185","B.1.1",9,3,12,2020.3306010929,2020.45628415301,0.125683060109395,46.0000000000387,4,4,"3-5"
"15186","B.1.1",9,3,13,2020.45628415301,2020.59016393443,0.133879781420774,49.0000000000032,6,6,"6-10"
"15187","B.1.1",9,3,14,2020.34426229508,2020.44535519126,0.101092896174805,36.9999999999786,2,2,"2"
"15188","B.1.1",9,3,15,2020.32513661202,2020.45355191257,0.128415300546521,47.0000000000268,6,6,"6-10"
"15189","B.1.1",9,3,16,2020.5,2020.51639344262,0.0163934426229844,6.00000000001228,3,3,"3-5"
"15190","B.1.1",9,4,1,2020.26775956284,2020.60655737705,0.338797814207737,124.000000000032,952,952,"20+"
"15191","B.1.1",9,4,2,2020.35792349727,2020.48087431694,0.122950819672042,44.9999999999673,12,12,"11-20"
"15192","B.1.1",9,4,3,2020.29508196721,2020.43715846995,0.14207650273238,52.0000000000509,3,3,"3-5"
"15193","B.1.1",9,4,4,2020.41256830601,2020.67213114754,0.259562841530169,95.0000000000418,28,28,"20+"
"15194","B.1.1",9,4,5,2020.5,2020.50819672131,0.0081967213113785,2.99999999996453,2,2,"2"
"15195","B.1.1",9,4,6,2020.36885245902,2020.60928961749,0.240437158470058,88.0000000000414,85,85,"20+"
"15196","B.1.1",9,4,7,2020.58196721311,2020.60382513661,0.0218579234972367,7.99999999998863,5,5,"3-5"
"15197","B.1.1",9,4,8,2020.53825136612,2020.53825136612,0,0,2,2,"2"
"15198","B.1.1",9,4,9,2020.28142076503,2020.31693989071,0.0355191256828675,12.9999999999295,3,3,"3-5"
"15199","B.1.1",9,4,10,2020.20765027322,2020.49180327869,0.284153005464532,104.000000000019,14,14,"11-20"
"15200","B.1.1",9,4,11,2020.42896174863,2020.51366120219,0.084699453552048,31.0000000000496,9,9,"6-10"
"15201","B.1.1",9,4,12,2020.3306010929,2020.45628415301,0.125683060109395,46.0000000000387,4,4,"3-5"
"15202","B.1.1",9,4,13,2020.45628415301,2020.59016393443,0.133879781420774,49.0000000000032,6,6,"6-10"
"15203","B.1.1",9,4,14,2020.34426229508,2020.44535519126,0.101092896174805,36.9999999999786,2,2,"2"
"15204","B.1.1",9,4,15,2020.32513661202,2020.45355191257,0.128415300546521,47.0000000000268,6,6,"6-10"
"15205","B.1.1",9,4,16,2020.5,2020.51639344262,0.0163934426229844,6.00000000001228,3,3,"3-5"
"15206","B.1.1",9,5,1,2020.26775956284,2020.60655737705,0.338797814207737,124.000000000032,952,952,"20+"
"15207","B.1.1",9,5,2,2020.35792349727,2020.48087431694,0.122950819672042,44.9999999999673,12,12,"11-20"
"15208","B.1.1",9,5,3,2020.29508196721,2020.43715846995,0.14207650273238,52.0000000000509,3,3,"3-5"
"15209","B.1.1",9,5,4,2020.41256830601,2020.67213114754,0.259562841530169,95.0000000000418,28,28,"20+"
"15210","B.1.1",9,5,5,2020.5,2020.50819672131,0.0081967213113785,2.99999999996453,2,2,"2"
"15211","B.1.1",9,5,6,2020.36885245902,2020.60928961749,0.240437158470058,88.0000000000414,85,85,"20+"
"15212","B.1.1",9,5,7,2020.58196721311,2020.60382513661,0.0218579234972367,7.99999999998863,5,5,"3-5"
"15213","B.1.1",9,5,8,2020.53825136612,2020.53825136612,0,0,2,2,"2"
"15214","B.1.1",9,5,9,2020.28142076503,2020.31693989071,0.0355191256828675,12.9999999999295,3,3,"3-5"
"15215","B.1.1",9,5,10,2020.20765027322,2020.49180327869,0.284153005464532,104.000000000019,14,14,"11-20"
"15216","B.1.1",9,5,11,2020.42896174863,2020.51366120219,0.084699453552048,31.0000000000496,9,9,"6-10"
"15217","B.1.1",9,5,12,2020.3306010929,2020.45628415301,0.125683060109395,46.0000000000387,4,4,"3-5"
"15218","B.1.1",9,5,13,2020.45628415301,2020.59016393443,0.133879781420774,49.0000000000032,6,6,"6-10"
"15219","B.1.1",9,5,14,2020.34426229508,2020.44535519126,0.101092896174805,36.9999999999786,2,2,"2"
"15220","B.1.1",9,5,15,2020.32513661202,2020.45355191257,0.128415300546521,47.0000000000268,6,6,"6-10"
"15221","B.1.1",9,5,16,2020.5,2020.51639344262,0.0163934426229844,6.00000000001228,3,3,"3-5"
"15222","B.1.1",9,6,1,2020.26775956284,2020.60655737705,0.338797814207737,124.000000000032,952,952,"20+"
"15223","B.1.1",9,6,2,2020.35792349727,2020.48087431694,0.122950819672042,44.9999999999673,12,12,"11-20"
"15224","B.1.1",9,6,3,2020.29508196721,2020.43715846995,0.14207650273238,52.0000000000509,3,3,"3-5"
"15225","B.1.1",9,6,4,2020.41256830601,2020.67213114754,0.259562841530169,95.0000000000418,28,28,"20+"
"15226","B.1.1",9,6,5,2020.5,2020.50819672131,0.0081967213113785,2.99999999996453,2,2,"2"
"15227","B.1.1",9,6,6,2020.36885245902,2020.60928961749,0.240437158470058,88.0000000000414,85,85,"20+"
"15228","B.1.1",9,6,7,2020.58196721311,2020.60382513661,0.0218579234972367,7.99999999998863,5,5,"3-5"
"15229","B.1.1",9,6,8,2020.53825136612,2020.53825136612,0,0,2,2,"2"
"15230","B.1.1",9,6,9,2020.28142076503,2020.31693989071,0.0355191256828675,12.9999999999295,3,3,"3-5"
"15231","B.1.1",9,6,10,2020.20765027322,2020.49180327869,0.284153005464532,104.000000000019,14,14,"11-20"
"15232","B.1.1",9,6,11,2020.42896174863,2020.51366120219,0.084699453552048,31.0000000000496,9,9,"6-10"
